ts,policy,allowed_window,headroom,selected,skipped,reason
1761598707,CARLA-knapsack,0,-0.231,,mgmt/metallb|mgmt/k8s-monitoring|mgmt/lgtm-distributed|apps/onco-app|edge/ingress|mgmt/argocd-plugins,low_headroom(H=-0.23<Δ=0.20)
1761598737,CARLA-knapsack,0,-0.231,,mgmt/metallb|mgmt/k8s-monitoring|mgmt/lgtm-distributed|apps/onco-app|edge/ingress|mgmt/argocd-plugins,low_headroom(H=-0.23<Δ=0.20)
1761598767,CARLA-knapsack,0,-0.231,,mgmt/metallb|mgmt/k8s-monitoring|mgmt/lgtm-distributed|apps/onco-app|edge/ingress|mgmt/argocd-plugins,low_headroom(H=-0.23<Δ=0.20)
1761598797,CARLA-knapsack,0,-0.231,,mgmt/metallb|mgmt/k8s-monitoring|mgmt/lgtm-distributed|apps/onco-app|edge/ingress|mgmt/argocd-plugins,low_headroom(H=-0.23<Δ=0.20)
1761598827,CARLA-knapsack,0,-0.231,,mgmt/metallb|mgmt/k8s-monitoring|mgmt/lgtm-distributed|apps/onco-app|edge/ingress|mgmt/argocd-plugins,low_headroom(H=-0.23<Δ=0.20)
1761598857,CARLA-knapsack,0,-0.231,,mgmt/metallb|mgmt/k8s-monitoring|mgmt/lgtm-distributed|apps/onco-app|edge/ingress|mgmt/argocd-plugins,low_headroom(H=-0.23<Δ=0.20)
1761598887,CARLA-knapsack,0,-0.231,,mgmt/metallb|mgmt/k8s-monitoring|mgmt/lgtm-distributed|apps/onco-app|edge/ingress|mgmt/argocd-plugins,low_headroom(H=-0.23<Δ=0.20)
1761598917,CARLA-knapsack,0,-0.231,,mgmt/metallb|mgmt/k8s-monitoring|mgmt/lgtm-distributed|apps/onco-app|edge/ingress|mgmt/argocd-plugins,low_headroom(H=-0.23<Δ=0.20)
1761598947,CARLA-knapsack,0,-0.231,,mgmt/metallb|mgmt/k8s-monitoring|mgmt/lgtm-distributed|apps/onco-app|edge/ingress|mgmt/argocd-plugins,low_headroom(H=-0.23<Δ=0.20)
1761598977,CARLA-knapsack,0,-0.231,,mgmt/metallb|mgmt/k8s-monitoring|mgmt/lgtm-distributed|apps/onco-app|edge/ingress|mgmt/argocd-plugins,low_headroom(H=-0.23<Δ=0.20)
1761599007,CARLA-knapsack,0,-0.231,,mgmt/metallb|mgmt/k8s-monitoring|mgmt/lgtm-distributed|apps/onco-app|edge/ingress|mgmt/argocd-plugins,low_headroom(H=-0.23<Δ=0.20)
1761599037,CARLA-knapsack,0,-0.231,,mgmt/metallb|mgmt/k8s-monitoring|mgmt/lgtm-distributed|apps/onco-app|edge/ingress|mgmt/argocd-plugins,low_headroom(H=-0.23<Δ=0.20)
1761599067,CARLA-knapsack,0,-0.231,,mgmt/metallb|mgmt/k8s-monitoring|mgmt/lgtm-distributed|apps/onco-app|edge/ingress|mgmt/argocd-plugins,low_headroom(H=-0.23<Δ=0.20)
1761599097,CARLA-knapsack,0,-0.231,,mgmt/metallb|mgmt/k8s-monitoring|mgmt/lgtm-distributed|apps/onco-app|edge/ingress|mgmt/argocd-plugins,low_headroom(H=-0.23<Δ=0.20)
1761599127,CARLA-knapsack,0,-0.231,,mgmt/metallb|mgmt/k8s-monitoring|mgmt/lgtm-distributed|apps/onco-app|edge/ingress|mgmt/argocd-plugins,low_headroom(H=-0.23<Δ=0.20)
