iteration,target_revision,start_wall_epoch,start_wall_utc,start_wall_local,end_wall_epoch,end_wall_utc,end_wall_local,deploy_started_epoch,deploy_started_utc,deploy_started_local,deploy_finished_epoch,deploy_finished_utc,deploy_finished_local,repo_sync_s,manifest_apply_s,resource_creation_s,deployment_total_s,rollout_total_s,pod_rollout_s,status,note
1,v0.15.2,1760786099.873,2025-10-18T11:14:59.873Z,2025-10-18T11:14:59.873+00:00,1760786103.877,2025-10-18T11:15:03.877Z,2025-10-18T11:15:03.877+00:00,1760786100.000,2025-10-18T11:15:00.000Z,2025-10-18T11:15:00.000+00:00,1760786101.000,2025-10-18T11:15:01.000Z,2025-10-18T11:15:01.000+00:00,3.093,0.099,0.502,1.000,4.004,3.004,ok,
2,v0.15.1,1760786105.243,2025-10-18T11:15:05.243Z,2025-10-18T11:15:05.243+00:00,1760786124.517,2025-10-18T11:15:24.516Z,2025-10-18T11:15:24.516+00:00,1760786105.000,2025-10-18T11:15:05.000Z,2025-10-18T11:15:05.000+00:00,1760786107.000,2025-10-18T11:15:07.000Z,2025-10-18T11:15:07.000+00:00,4.343,0.190,14.806,2.000,19.273,17.273,ok,
3,v0.15.2,1760786125.841,2025-10-18T11:15:25.840Z,2025-10-18T11:15:25.840+00:00,1760786145.722,2025-10-18T11:15:45.721Z,2025-10-18T11:15:45.721+00:00,1760786125.000,2025-10-18T11:15:25.000Z,2025-10-18T11:15:25.000+00:00,1760786127.000,2025-10-18T11:15:27.000Z,2025-10-18T11:15:27.000+00:00,5.415,0.221,14.880,2.000,19.881,17.881,ok,
4,v0.15.1,1760786147.094,2025-10-18T11:15:47.093Z,2025-10-18T11:15:47.093+00:00,1760786167.724,2025-10-18T11:16:07.723Z,2025-10-18T11:16:07.723+00:00,1760786147.000,2025-10-18T11:15:47.000Z,2025-10-18T11:15:47.000+00:00,1760786150.000,2025-10-18T11:15:50.000Z,2025-10-18T11:15:50.000+00:00,5.364,0.107,15.103,3.000,20.630,17.630,ok,
5,v0.15.2,1760786169.075,2025-10-18T11:16:09.074Z,2025-10-18T11:16:09.074+00:00,1760786190.310,2025-10-18T11:16:30.309Z,2025-10-18T11:16:30.309+00:00,1760786169.000,2025-10-18T11:16:09.000Z,2025-10-18T11:16:09.000+00:00,1760786171.000,2025-10-18T11:16:11.000Z,2025-10-18T11:16:11.000+00:00,4.406,0.098,16.686,2.000,21.235,19.235,ok,
6,v0.15.1,1760786191.603,2025-10-18T11:16:31.602Z,2025-10-18T11:16:31.602+00:00,1760786212.756,2025-10-18T11:16:52.756Z,2025-10-18T11:16:52.756+00:00,1760786191.000,2025-10-18T11:16:31.000Z,2025-10-18T11:16:31.000+00:00,1760786193.000,2025-10-18T11:16:33.000Z,2025-10-18T11:16:33.000+00:00,4.528,0.143,16.999,2.000,21.154,19.154,ok,
7,v0.15.2,1760786214.109,2025-10-18T11:16:54.109Z,2025-10-18T11:16:54.109+00:00,1760786235.170,2025-10-18T11:17:15.169Z,2025-10-18T11:17:15.169+00:00,1760786214.000,2025-10-18T11:16:54.000Z,2025-10-18T11:16:54.000+00:00,1760786217.000,2025-10-18T11:16:57.000Z,2025-10-18T11:16:57.000+00:00,4.658,0.130,16.241,3.000,21.061,18.061,ok,
8,v0.15.1,1760786236.602,2025-10-18T11:17:16.601Z,2025-10-18T11:17:16.601+00:00,1760786258.310,2025-10-18T11:17:38.309Z,2025-10-18T11:17:38.309+00:00,1760786236.000,2025-10-18T11:17:16.000Z,2025-10-18T11:17:16.000+00:00,1760786239.000,2025-10-18T11:17:19.000Z,2025-10-18T11:17:19.000+00:00,5.612,0.113,16.341,3.000,21.708,18.708,ok,
9,v0.15.2,1760786259.580,2025-10-18T11:17:39.579Z,2025-10-18T11:17:39.579+00:00,1760786282.499,2025-10-18T11:18:02.499Z,2025-10-18T11:18:02.499+00:00,1760786259.000,2025-10-18T11:17:39.000Z,2025-10-18T11:17:39.000+00:00,1760786264.000,2025-10-18T11:17:44.000Z,2025-10-18T11:17:44.000+00:00,8.590,0.120,14.640,5.000,22.919,17.919,ok,
10,v0.15.1,1760786283.962,2025-10-18T11:18:03.962Z,2025-10-18T11:18:03.962+00:00,1760786304.408,2025-10-18T11:18:24.408Z,2025-10-18T11:18:24.408+00:00,1760786284.000,2025-10-18T11:18:04.000Z,2025-10-18T11:18:04.000+00:00,1760786287.000,2025-10-18T11:18:07.000Z,2025-10-18T11:18:07.000+00:00,4.709,0.186,15.354,3.000,20.446,17.446,ok,
