iteration,target_revision,start_wall_epoch,start_wall_utc,start_wall_local,end_wall_epoch,end_wall_utc,end_wall_local,deploy_started_epoch,deploy_started_utc,deploy_started_local,deploy_finished_epoch,deploy_finished_utc,deploy_finished_local,repo_sync_s,manifest_apply_s,resource_creation_s,deployment_total_s,rollout_total_s,pod_rollout_s,status,note
1,v0.15.2,1760791368.477,2025-10-18T12:42:48.476Z,2025-10-18T12:42:48.476+00:00,1760791372.718,2025-10-18T12:42:52.718Z,2025-10-18T12:42:52.718+00:00,1760791368.000,2025-10-18T12:42:48.000Z,2025-10-18T12:42:48.000+00:00,1760791370.000,2025-10-18T12:42:50.000Z,2025-10-18T12:42:50.000+00:00,3.815,0.142,0.643,2.000,4.241,2.241,ok,
2,v0.15.1,1760791374.144,2025-10-18T12:42:54.144Z,2025-10-18T12:42:54.144+00:00,1760791406.669,2025-10-18T12:43:26.669Z,2025-10-18T12:43:26.669+00:00,1760791374.000,2025-10-18T12:42:54.000Z,2025-10-18T12:42:54.000+00:00,1760791377.000,2025-10-18T12:42:57.000Z,2025-10-18T12:42:57.000+00:00,5.890,0.143,26.495,3.000,32.525,29.525,ok,
3,v0.15.2,1760791407.805,2025-10-18T12:43:27.805Z,2025-10-18T12:43:27.805+00:00,1760791411.297,2025-10-18T12:43:31.297Z,2025-10-18T12:43:31.297+00:00,1760791407.000,2025-10-18T12:43:27.000Z,2025-10-18T12:43:27.000+00:00,1760791409.000,2025-10-18T12:43:29.000Z,2025-10-18T12:43:29.000+00:00,3.443,0.193,0.468,2.000,3.492,1.492,ok,
4,v0.15.1,1760791412.744,2025-10-18T12:43:32.743Z,2025-10-18T12:43:32.743+00:00,1760791435.434,2025-10-18T12:43:55.434Z,2025-10-18T12:43:55.434+00:00,1760791412.000,2025-10-18T12:43:32.000Z,2025-10-18T12:43:32.000+00:00,1760791416.000,2025-10-18T12:43:36.000Z,2025-10-18T12:43:36.000+00:00,6.842,0.109,16.364,4.000,22.691,18.691,ok,
5,v0.15.2,1760791436.822,2025-10-18T12:43:56.821Z,2025-10-18T12:43:56.821+00:00,1760791457.528,2025-10-18T12:44:17.527Z,2025-10-18T12:44:17.527+00:00,1760791436.000,2025-10-18T12:43:56.000Z,2025-10-18T12:43:56.000+00:00,1760791439.000,2025-10-18T12:43:59.000Z,2025-10-18T12:43:59.000+00:00,5.018,0.093,16.295,3.000,20.706,17.706,ok,
6,v0.15.1,1760791458.849,2025-10-18T12:44:18.848Z,2025-10-18T12:44:18.848+00:00,1760791480.991,2025-10-18T12:44:40.990Z,2025-10-18T12:44:40.990+00:00,1760791459.000,2025-10-18T12:44:19.000Z,2025-10-18T12:44:19.000+00:00,1760791462.000,2025-10-18T12:44:22.000Z,2025-10-18T12:44:22.000+00:00,4.997,0.095,16.749,3.000,22.142,19.142,ok,
7,v0.15.2,1760791482.275,2025-10-18T12:44:42.274Z,2025-10-18T12:44:42.274+00:00,1760791503.734,2025-10-18T12:45:03.733Z,2025-10-18T12:45:03.733+00:00,1760791482.000,2025-10-18T12:44:42.000Z,2025-10-18T12:44:42.000+00:00,1760791486.000,2025-10-18T12:44:46.000Z,2025-10-18T12:44:46.000+00:00,6.475,0.146,14.981,4.000,21.459,17.459,ok,
8,v0.15.1,1760791505.028,2025-10-18T12:45:05.028Z,2025-10-18T12:45:05.028+00:00,1760791527.275,2025-10-18T12:45:27.274Z,2025-10-18T12:45:27.274+00:00,1760791505.000,2025-10-18T12:45:05.000Z,2025-10-18T12:45:05.000+00:00,1760791508.000,2025-10-18T12:45:08.000Z,2025-10-18T12:45:08.000+00:00,5.629,0.132,16.368,3.000,22.246,19.246,ok,
9,v0.15.2,1760791528.757,2025-10-18T12:45:28.757Z,2025-10-18T12:45:28.757+00:00,1760791550.474,2025-10-18T12:45:50.473Z,2025-10-18T12:45:50.473+00:00,1760791529.000,2025-10-18T12:45:29.000Z,2025-10-18T12:45:29.000+00:00,1760791531.000,2025-10-18T12:45:31.000Z,2025-10-18T12:45:31.000+00:00,4.464,0.104,16.751,2.000,21.717,19.717,ok,
10,v0.15.1,1760791551.884,2025-10-18T12:45:51.884Z,2025-10-18T12:45:51.884+00:00,1760791573.337,2025-10-18T12:46:13.336Z,2025-10-18T12:46:13.336+00:00,1760791552.000,2025-10-18T12:45:52.000Z,2025-10-18T12:45:52.000+00:00,1760791554.000,2025-10-18T12:45:54.000Z,2025-10-18T12:45:54.000+00:00,4.449,0.120,16.614,2.000,21.453,19.453,ok,
